BLDG_ID,Region,Size,Year,Hours,HDD65,CDD65,SrcEUI,Group,Order
985,New England,7500,1950,55,4893,897,0.562872479,7,1
6271,New England,48500,1949,50,6035,556,0.474700495,52,1
555,New England,18500,1998,60,4396,905,0.609498144,53,1
1496,New England,88000,1978,60,4340,745,0.578096974,84,1
4800,New England,10001,1980,53,5094,918,0.678584026,1,1
3475,New England,58000,1955,45,5918,634,0.657856159,84,1
4486,New England,7100,1950,50,6014,690,0.810590354,41,1
956,New England,114000,1964,50,5834,547,0.70438222,18,1
3795,New England,15000,1964,100,5009,890,0.774193363,10,1
5039,New England,230000,1984,40,6536,470,0.778778185,20,1
4477,New England,62000,1975,60,6319,612,0.976768959,30,1
4499,New England,7800,1966,50,4772,1013,1.058274245,88,1
1402,New England,40500,1985,60,5143,723,1.095076601,92,1
3578,New England,20750,1989,40,3936,1011,1.064815027,37,1
1852,New England,9900,1976,50,6663,496,1.04346176,39,1
2341,New England,215000,1989,65,4996,918,1.193188543,77,1
113,New England,10250,1964,40,5679,909,1.161724763,45,1
6368,New England,14500,1966,50,5636,906,1.363486767,57,1
4331,New England,24000,1964,105,4753,847,1.333547186,72,1
248,New England,172000,1970,60,5611,605,1.704283573,93,1
5549,New England,20500,2001,168,5113,743,1.701353918,14,1
2966,New England,60000,1977,60,4599,791,1.875692098,61,1
5989,New England,32000,2001,40,4806,913,2.036443913,89,1
1133,New England,34000,2000,72,4936,878,2.921856179,95,1
1554,Middle Atlantic,7500,1993,59,4764,902,0.436869773,28,2
6026,Middle Atlantic,7900,1983,40,4615,963,0.631550729,95,2
3485,Middle Atlantic,5100,1946,48,4758,1189,0.571420507,14,2
4487,Middle Atlantic,78000,2006,50,4915,780,0.613784362,72,2
369,Middle Atlantic,315000,1986,168,4918,917,0.616202217,46,2
3843,Middle Atlantic,310000,1950,50,3912,1509,0.668152766,46,2
5151,Middle Atlantic,7500,2004,50,5713,645,0.750476429,79,2
4696,Middle Atlantic,62000,2001,55,6328,814,0.839607753,12,2
588,Middle Atlantic,78000,1989,45,4261,1178,0.920437423,98,2
1004,Middle Atlantic,6000,1976,40,6923,665,0.976041259,100,2
6180,Middle Atlantic,24750,1950,50,4838,1112,1.021305822,7,2
2825,Middle Atlantic,8800,1999,40,4788,867,0.887027989,73,2
784,Middle Atlantic,36000,2009,120,4994,1263,0.942557399,17,2
3310,Middle Atlantic,220000,1970,60,6380,781,1.01745772,72,2
4788,Middle Atlantic,67000,1987,60,4014,1331,1.01610981,75,2
6153,Middle Atlantic,28500,1972,40,5040,875,0.942181844,13,2
6377,Middle Atlantic,8600,1968,40,5472,902,1.158834721,27,2
6372,Middle Atlantic,6000,1965,70,3940,961,1.11043781,87,2
6306,Middle Atlantic,150000,1990,55,4192,1301,1.013632802,33,2
6627,Middle Atlantic,43500,1990,42,4166,1418,1.023697198,98,2
175,Middle Atlantic,106000,1989,50,4485,1004,1.163275153,66,2
2072,Middle Atlantic,22000,1950,40,4604,909,1.192566712,18,2
3411,Middle Atlantic,68000,2008,46,5195,890,1.199879441,58,2
659,Middle Atlantic,120000,2006,40,4881,994,1.180005453,16,2
3854,Middle Atlantic,420000,1992,45,3555,1156,1.168061437,79,2
4283,Middle Atlantic,380000,1972,97,5560,652,1.152396333,87,2
4041,Middle Atlantic,300000,1958,50,3846,1255,1.148333654,83,2
2104,Middle Atlantic,450000,1983,72,4171,1175,1.302635099,71,2
4847,Middle Atlantic,11000,1984,60,4645,1105,1.245517564,85,2
1193,Middle Atlantic,73000,1987,70,4104,1060,1.192645357,97,2
4884,Middle Atlantic,160000,1979,55,4324,1261,1.385599567,79,2
5270,Middle Atlantic,164000,1986,60,6762,439,1.294635502,26,2
1348,Middle Atlantic,225000,1968,93,6151,722,1.377195363,67,2
3406,Middle Atlantic,32000,2001,60,5302,1003,1.358245249,79,2
2371,Middle Atlantic,13000,1964,50,5290,1237,1.587395921,17,2
3772,Middle Atlantic,126000,1982,168,4967,1052,1.557797111,6,2
890,Middle Atlantic,10001,1970,60,4552,1201,1.62215201,67,2
4526,Middle Atlantic,425000,1972,80,5283,930,1.570047878,59,2
6277,Middle Atlantic,5900,2001,50,6028,894,1.726768794,86,2
4602,Middle Atlantic,250000,1991,45,4768,1083,1.632100773,64,2
446,Middle Atlantic,132000,1963,45,4659,1209,1.589200162,50,2
3417,Middle Atlantic,120000,1985,65,3558,1348,1.744757745,80,2
6616,Middle Atlantic,475000,1957,168,3416,1268,1.599753742,29,2
1000,Middle Atlantic,108000,1983,56,4330,1316,1.688980342,45,2
1397,Middle Atlantic,70000,1980,168,3920,1244,1.619014283,74,2
4024,Middle Atlantic,310000,1987,40,3838,1437,1.720297903,7,2
4362,Middle Atlantic,200000,1983,60,3813,1467,1.631263602,74,2
2723,Middle Atlantic,68000,1992,54,3792,1591,1.731506776,25,2
